ExperimentName	Subject	Session	Display.RefreshRate	Group	RandomSeed	SessionDate	SessionTime	Block	Procedure[Block]	Running[Block]	SessionList	SessionList.Cycle	SessionList.Sample	Trial	BlockInstr.OffsetDelay	BlockInstr.OffsetTime	BlockInstr.OnsetDelay	BlockInstr.OnsetTime	BlockList	BlockList.Cycle	BlockList.Sample	Category	Challenge.ACC	Challenge.RESP	Challenge.RT	Condition	CorrResp	Delay	DelayFixation.OffsetDelay	DelayFixation.OffsetTime	DelayFixation.OnsetDelay	DelayFixation.OnsetTime	Distractors	Feedback.OffsetTime	Feedback.OnsetTime	Filename	GetReady.OffsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	Go.OffsetDelay	Go.OffsetTime	Go.OnsetTime	Novelty	Permutation	PostGoFixation.OffsetDelay	PostGoFixation.OffsetTime	PostGoFixation.OnsetTime	Procedure[Trial]	Relevance	Running[Trial]	Stim.ACC	Stim.CRESP	Stim.OffsetDelay	Stim.OffsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.RESP	Stim.RT	Stim.RTTime
TRSEscan	1091	1	60.001	1	-1398917858	7/15/2010	18:55:34	1	BlockProc	SessionList	2	1	2	1	-999999	73583	14	71045	1	2	1		1	2	2468	Faces			NULL	NULL	NULL	NULL		NULL	NULL		127302	1	77079	0	128301	127311			0	130201	128311	InstrProc		BlockList	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
TRSEscan	1091	1	60.001	1	-1398917858	7/15/2010	18:55:34	1	BlockProc	SessionList	2	1	2	2	NULL	NULL	NULL	NULL	2	2	2	Scenes	NULL	NULL	NULL	Faces	1	4390	0	135201	10	130911	0	NULL	NULL	scene/s_364.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	130801	10	130311	1	319	130630
TRSEscan	1091	1	60.001	1	-1398917858	7/15/2010	18:55:34	1	BlockProc	SessionList	2	1	2	3	NULL	NULL	NULL	NULL	3	2	3	Faces	NULL	NULL	NULL	Faces	1	2390	0	138201	10	135911	1	NULL	NULL	face/m_120.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	135801	10	135311	1	279	135590
TRSEscan	1091	1	60.001	1	-1398917858	7/15/2010	18:55:34	1	BlockProc	SessionList	2	1	2	4	NULL	NULL	NULL	NULL	4	2	4	Faces	NULL	NULL	NULL	Faces	1	2390	0	141201	10	138911	0	NULL	NULL	face/m_014.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	138801	10	138311	1	911	139222
TRSEscan	1091	1	60.001	1	-1398917858	7/15/2010	18:55:34	1	BlockProc	SessionList	2	1	2	5	NULL	NULL	NULL	NULL	5	2	5	Scenes	NULL	NULL	NULL	Faces	1	4390	0	146201	10	141911	2	NULL	NULL	scene/s_200.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	141801	10	141311	1	639	141950
TRSEscan	1091	1	60.001	1	-1398917858	7/15/2010	18:55:34	1	BlockProc	SessionList	2	1	2	6	NULL	NULL	NULL	NULL	6	2	6	Faces	NULL	NULL	NULL	Faces	2	6390	0	153201	10	146911	1	NULL	NULL	face/m_014.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	2	0	146801	10	146311	2	839	147150
TRSEscan	1091	1	60.001	1	-1398917858	7/15/2010	18:55:34	1	BlockProc	SessionList	2	1	2	7	NULL	NULL	NULL	NULL	7	2	7	Scenes	NULL	NULL	NULL	Faces	1	6390	0	160201	10	153911	1	NULL	NULL	scene/s_200.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	153801	10	153311	1	591	153902
TRSEscan	1091	1	60.001	1	-1398917858	7/15/2010	18:55:34	1	BlockProc	SessionList	2	1	2	8	NULL	NULL	NULL	NULL	8	2	8	Scenes	NULL	NULL	NULL	Faces	1	4390	0	165201	10	160911	0	NULL	NULL	scene/s_004.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	160801	10	160311	1	631	160942
TRSEscan	1091	1	60.001	1	-1398917858	7/15/2010	18:55:34	1	BlockProc	SessionList	2	1	2	9	NULL	NULL	NULL	NULL	9	2	9	Scenes	NULL	NULL	NULL	Faces	1	2390	0	168201	10	165911	0	NULL	NULL	scene/s_004.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	165801	10	165311	1	495	165806
TRSEscan	1091	1	60.001	1	-1398917858	7/15/2010	18:55:34	1	BlockProc	SessionList	2	1	2	10	NULL	NULL	NULL	NULL	10	2	10	Faces	NULL	NULL	NULL	Faces	1	4390	0	173200	10	168910	3	NULL	NULL	face/f_038.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	168800	9	168310	1	792	169102
