ExperimentName	Subject	Session	Display.RefreshRate	Group	RandomSeed	SessionDate	SessionTime	Block	Procedure[Block]	Running[Block]	SessionList	SessionList.Cycle	SessionList.Sample	Trial	BlockInstr.OffsetDelay	BlockInstr.OffsetTime	BlockInstr.OnsetDelay	BlockInstr.OnsetTime	BlockList	BlockList.Cycle	BlockList.Sample	Category	Challenge.ACC	Challenge.RESP	Challenge.RT	Condition	CorrResp	Delay	DelayFixation.OffsetDelay	DelayFixation.OffsetTime	DelayFixation.OnsetDelay	DelayFixation.OnsetTime	Distractors	Feedback.OffsetTime	Feedback.OnsetTime	Filename	GetReady.OffsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	Go.OffsetDelay	Go.OffsetTime	Go.OnsetTime	Novelty	Permutation	PostGoFixation.OffsetDelay	PostGoFixation.OffsetTime	PostGoFixation.OnsetTime	Procedure[Trial]	Relevance	Running[Trial]	Stim.ACC	Stim.CRESP	Stim.OffsetDelay	Stim.OffsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.RESP	Stim.RT	Stim.RTTime
TRSEscan	1141	1	60.002	1	-1344743539	8/11/2010	10:51:16	1	BlockProc	SessionList	2	1	2	1	-999999	77328	10	72762	1	2	1		1	2	2286	Faces			NULL	NULL	NULL	NULL		NULL	NULL		89976	1	80630	0	90968	89978			0	92868	90978	InstrProc		BlockList	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
TRSEscan	1141	1	60.002	1	-1344743539	8/11/2010	10:51:16	1	BlockProc	SessionList	2	1	2	2	NULL	NULL	NULL	NULL	2	2	2	Scenes	NULL	NULL	NULL	Faces	1	4390	0	97868	10	93578	0	NULL	NULL	scene/s_364.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	93468	10	92978	1	902	93880
TRSEscan	1141	1	60.002	1	-1344743539	8/11/2010	10:51:16	1	BlockProc	SessionList	2	1	2	3	NULL	NULL	NULL	NULL	3	2	3	Faces	NULL	NULL	NULL	Faces	1	2390	0	100868	10	98578	1	NULL	NULL	face/m_120.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	98468	10	97978	1	421	98399
TRSEscan	1141	1	60.002	1	-1344743539	8/11/2010	10:51:16	1	BlockProc	SessionList	2	1	2	4	NULL	NULL	NULL	NULL	4	2	4	Faces	NULL	NULL	NULL	Faces	1	2390	0	103868	10	101578	0	NULL	NULL	face/m_014.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	101468	10	100978	1	597	101575
TRSEscan	1141	1	60.002	1	-1344743539	8/11/2010	10:51:16	1	BlockProc	SessionList	2	1	2	5	NULL	NULL	NULL	NULL	5	2	5	Scenes	NULL	NULL	NULL	Faces	1	4390	0	108868	10	104578	2	NULL	NULL	scene/s_200.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	104468	10	103978	1	429	104407
TRSEscan	1141	1	60.002	1	-1344743539	8/11/2010	10:51:16	1	BlockProc	SessionList	2	1	2	6	NULL	NULL	NULL	NULL	6	2	6	Faces	NULL	NULL	NULL	Faces	2	6390	0	115868	10	109578	1	NULL	NULL	face/m_014.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	0	2	0	109468	10	108978	1	957	109935
TRSEscan	1141	1	60.002	1	-1344743539	8/11/2010	10:51:16	1	BlockProc	SessionList	2	1	2	7	NULL	NULL	NULL	NULL	7	2	7	Scenes	NULL	NULL	NULL	Faces	1	6390	0	122868	10	116578	1	NULL	NULL	scene/s_200.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	116468	10	115978	1	437	116415
TRSEscan	1141	1	60.002	1	-1344743539	8/11/2010	10:51:16	1	BlockProc	SessionList	2	1	2	8	NULL	NULL	NULL	NULL	8	2	8	Scenes	NULL	NULL	NULL	Faces	1	4390	0	127867	10	123577	0	NULL	NULL	scene/s_004.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	123467	9	122977	1	598	123575
TRSEscan	1141	1	60.002	1	-1344743539	8/11/2010	10:51:16	1	BlockProc	SessionList	2	1	2	9	NULL	NULL	NULL	NULL	9	2	9	Scenes	NULL	NULL	NULL	Faces	1	2390	0	130867	10	128577	0	NULL	NULL	scene/s_004.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	128467	10	127977	1	406	128383
TRSEscan	1141	1	60.002	1	-1344743539	8/11/2010	10:51:16	1	BlockProc	SessionList	2	1	2	10	NULL	NULL	NULL	NULL	10	2	10	Faces	NULL	NULL	NULL	Faces	1	4390	0	135867	10	131577	3	NULL	NULL	face/f_038.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	131467	10	130977	1	646	131623
