ExperimentName	Subject	Block	Trial	Category	Condition	Delay	DelayFixation.OffsetTime	DelayFixation.OnsetTime	Distractors	Go.OffsetTime	Go.OnsetTime	Novelty	Relevance	Stim.ACC	Stim.OffsetTime	Stim.OnsetTime	Stim.RT
TRSEscan	122	3	18	Faces	Categorize	4390	417802	413512	0			Repeat	Irrelevant	1	413399	412909	513
TRSEscan	122	3	19	Scenes	Categorize	2390	420794	418504	3			Novel	Irrelevant	1	418391	417901	705
TRSEscan	122	3	20	Faces	Categorize	6390	427792	421502	1			Novel	Irrelevant	1	421389	420899	554
TRSEscan	122	3	21	Faces	Categorize	4390	432794	428504	0			Novel	Irrelevant	1	428391	427901	576
TRSEscan	122	4	1		Both					462359	461369						
TRSEscan	122	4	2	Scenes	Both	4390	469261	464971	0			Novel	Relevant	1	464857	464367	1198
TRSEscan	122	4	3	Faces	Both	2390	472252	469962	1			Novel	Relevant	1	469850	469360	853
TRSEscan	122	4	4	Faces	Both	2390	475251	472961	0			Novel	Relevant	0	472848	472358	1535
TRSEscan	122	4	5	Scenes	Both	4390	480249	475959	2			Novel	Relevant	1	475846	475356	1193
TRSEscan	122	4	6	Faces	Both	6390	487241	480951	1			Repeat	Relevant	1	480838	480348	1209
TRSEscan	122	4	7	Scenes	Both	6390	494243	487953	1			Repeat	Relevant	1	487840	487350	1182
TRSEscan	122	4	8	Scenes	Both	4390	499244	494954	0			Novel	Relevant	1	494841	494351	1038
TRSEscan	122	4	9	Scenes	Both	2390	502236	499946	0			Repeat	Relevant	1	499833	499343	1309
TRSEscan	122	4	10	Faces	Both	4390	507235	502945	3			Novel	Relevant	1	502832	502342	1118
TRSEscan	122	4	11	Scenes	Both	6390	514226	507936	1			Repeat	Relevant	1	507824	507334	1310
TRSEscan	122	4	12	Scenes	Both	2390	517228	514938	0			Novel	Relevant	1	514825	514335	845
TRSEscan	122	4	13	Faces	Both	4390	522227	517937	2			Repeat	Relevant	1	517824	517334	2006
TRSEscan	122	4	14	Scenes	Both	2390	525218	522928	1			Repeat	Relevant	1	522816	522326	1094
TRSEscan	122	4	15	Scenes	Both	6390	532217	525927	0			Novel	Relevant	1	525814	525324	696
TRSEscan	122	4	16	Faces	Both	6390	539219	532929	2			Repeat	Relevant	1	532816	532326	526
TRSEscan	122	4	17	Faces	Both	2390	542220	539930	0			Novel	Relevant	1	539817	539327	1213
TRSEscan	122	4	18	Faces	Both	4390	547219	542929	0			Repeat	Relevant	1	542816	542326	1238
TRSEscan	122	4	19	Scenes	Both	2390	550211	547921	3			Novel	Relevant	1	547808	547318	1302
TRSEscan	122	4	20	Faces	Both	6390	557209	550919	1			Novel	Relevant	1	550806	550316	1040
TRSEscan	122	4	21	Faces	Both	4390	562211	557921	0			Novel	Relevant	1	557808	557318	982
TRSEscan	122	5	1		Scenes					70919	69929						
TRSEscan	122	5	2	Faces	Scenes	2390	75821	73531	0			Novel	Irrelevant	1	73418	72928	938
TRSEscan	122	5	3	Faces	Scenes	4390	80819	76529	0			Novel	Irrelevant	1	76416	75926	596
TRSEscan	122	5	4	Scenes	Scenes	6390	87811	81521	2			Novel	Relevant	1	81408	80918	1052
TRSEscan	122	5	5	Faces	Scenes	4390	92813	88523	1			Repeat	Irrelevant	1	88410	87920	882
TRSEscan	122	5	6	Faces	Scenes	2390	95805	93515	0			Repeat	Irrelevant	1	93402	92912	578
TRSEscan	122	5	7	Faces	Scenes	6390	102803	96513	0			Novel	Irrelevant	1	96400	95910	612
TRSEscan	122	5	8	Scenes	Scenes	2390	105805	103515	3			Novel	Relevant	1	103402	102912	906
TRSEscan	122	5	9	Scenes	Scenes	4390	110803	106513	0			Repeat	Relevant	1	106400	105910	1452
TRSEscan	122	5	10	Faces	Scenes	2390	113795	111505	2			Repeat	Irrelevant	1	111392	110902	660
TRSEscan	122	5	11	Scenes	Scenes	4390	118793	114503	1			Repeat	Relevant	1	114390	113900	830
TRSEscan	122	5	12	Scenes	Scenes	6390	125785	119495	0			Novel	Relevant	1	119382	118892	678
TRSEscan	122	5	13	Faces	Scenes	4390	130787	126497	2			Novel	Irrelevant	1	126384	125894	676
TRSEscan	122	5	14	Scenes	Scenes	2390	133779	131489	1			Repeat	Relevant	1	131376	130886	828
TRSEscan	122	5	15	Scenes	Scenes	6390	140777	134487	0			Novel	Relevant	1	134374	133884	878
TRSEscan	122	5	16	Scenes	Scenes	4390	145779	141489	0			Novel	Relevant	1	141376	140886	716
TRSEscan	122	5	17	Faces	Scenes	6390	152771	146481	3			Novel	Irrelevant	1	146368	145878	684
TRSEscan	122	5	18	Scenes	Scenes	2390	155773	153483	1			Repeat	Relevant	1	153370	152880	729
TRSEscan	122	5	19	Faces	Scenes	2390	158771	156481	1			Repeat	Irrelevant	1	156368	155878	715
TRSEscan	122	5	20	Faces	Scenes	6390	165769	159479	0			Novel	Irrelevant	1	159366	158876	773
TRSEscan	122	5	21	Scenes	Scenes	4390	170771	166481	2			Novel	Relevant	1	166368	165878	755
TRSEscan	122	6	1		Categorize					202866	201876						
TRSEscan	122	6	2	Faces	Categorize	2390	207767	205477	0			Novel	Irrelevant	1	205364	204874	703
TRSEscan	122	6	3	Faces	Categorize	4390	212766	208476	0			Novel	Irrelevant	1	208363	207873	520
TRSEscan	122	6	4	Scenes	Categorize	6390	219757	213467	2			Novel	Irrelevant	1	213355	212865	544
TRSEscan	122	6	5	Faces	Categorize	4390	224759	220469	1			Repeat	Irrelevant	1	220356	219866	655
TRSEscan	122	6	6	Faces	Categorize	2390	227751	225461	0			Repeat	Irrelevant	1	225348	224858	479
TRSEscan	122	6	7	Faces	Categorize	6390	234749	228459	0			Novel	Irrelevant	1	228346	227856	536
TRSEscan	122	6	8	Scenes	Categorize	2390	237751	235461	3			Novel	Irrelevant	1	235348	234858	582
TRSEscan	122	6	9	Scenes	Categorize	4390	242750	238460	0			Repeat	Irrelevant	1	238347	237857	471
TRSEscan	122	6	10	Faces	Categorize	2390	245741	243451	2			Repeat	Irrelevant	1	243339	242849	471
TRSEscan	122	6	11	Scenes	Categorize	4390	250740	246450	1			Repeat	Irrelevant	1	246337	245847	425
TRSEscan	122	6	12	Scenes	Categorize	6390	257732	251442	0			Novel	Irrelevant	1	251329	250839	681
TRSEscan	122	6	13	Faces	Categorize	4390	262733	258443	2			Novel	Irrelevant	1	258330	257840	608
TRSEscan	122	6	14	Scenes	Categorize	2390	265725	263435	1			Repeat	Irrelevant	1	263322	262832	592
TRSEscan	122	6	15	Scenes	Categorize	6390	272724	266434	0			Novel	Irrelevant	1	266321	265831	473
TRSEscan	122	6	16	Scenes	Categorize	4390	277725	273435	0			Novel	Irrelevant	1	273322	272832	544
TRSEscan	122	6	17	Faces	Categorize	6390	284717	278427	3			Novel	Irrelevant	1	278314	277824	664
TRSEscan	122	6	18	Scenes	Categorize	2390	287719	285429	1			Repeat	Irrelevant	1	285316	284826	790
TRSEscan	122	6	19	Faces	Categorize	2390	290717	288427	1			Repeat	Irrelevant	1	288314	287824	808
TRSEscan	122	6	20	Faces	Categorize	6390	297716	291426	0			Novel	Irrelevant	1	291313	290823	641
TRSEscan	122	6	21	Scenes	Categorize	4390	302718	298428	2			Novel	Irrelevant	1	298315	297825	575
TRSEscan	122	7	1		Both					334377	333387						
TRSEscan	122	7	2	Faces	Both	2390	339278	336988	0			Novel	Relevant	1	336875	336385	750
TRSEscan	122	7	3	Faces	Both	4390	344277	339987	0			Novel	Relevant	1	339873	339383	728
TRSEscan	122	7	4	Scenes	Both	6390	351268	344978	2			Novel	Relevant	1	344866	344376	927
TRSEscan	122	7	5	Faces	Both	4390	356270	351980	1			Repeat	Relevant	1	351867	351377	654
TRSEscan	122	7	6	Faces	Both	2390	359262	356972	0			Repeat	Relevant	1	356859	356369	662
TRSEscan	122	7	7	Faces	Both	6390	366260	359970	0			Novel	Relevant	1	359857	359367	848
TRSEscan	122	7	8	Scenes	Both	2390	369262	366972	3			Novel	Relevant	1	366859	366369	990
TRSEscan	122	7	9	Scenes	Both	4390	374260	369970	0			Repeat	Relevant	1	369857	369367	800
TRSEscan	122	7	10	Faces	Both	2390	377252	374962	2			Repeat	Relevant	0	374849	374359	904
TRSEscan	122	7	11	Scenes	Both	4390	382251	377961	1			Repeat	Relevant	1	377848	377358	1305
TRSEscan	122	7	12	Scenes	Both	6390	389242	382952	0			Novel	Relevant	1	382840	382350	1001
TRSEscan	122	7	13	Faces	Both	4390	394244	389954	2			Novel	Relevant	1	389841	389351	1120
TRSEscan	122	7	14	Scenes	Both	2390	397236	394946	1			Repeat	Relevant	1	394833	394343	784
TRSEscan	122	7	15	Scenes	Both	6390	404234	397944	0			Novel	Relevant	1	397831	397341	1194
TRSEscan	122	7	16	Scenes	Both	4390	409236	404946	0			Novel	Relevant	1	404833	404343	1104
TRSEscan	122	7	17	Faces	Both	6390	416228	409938	3			Novel	Relevant	1	409825	409335	656
TRSEscan	122	7	18	Scenes	Both	2390	419230	416940	1			Repeat	Relevant	1	416827	416337	1253
