ExperimentName	Subject	Session	Display.RefreshRate	Group	RandomSeed	SessionDate	SessionTime	Block	Procedure[Block]	Running[Block]	SessionList	SessionList.Cycle	SessionList.Sample	Trial	BlockInstr.OffsetDelay	BlockInstr.OffsetTime	BlockInstr.OnsetDelay	BlockInstr.OnsetTime	BlockList	BlockList.Cycle	BlockList.Sample	Category	Challenge.ACC	Challenge.RESP	Challenge.RT	Condition	CorrResp	Delay	DelayFixation.OffsetDelay	DelayFixation.OffsetTime	DelayFixation.OnsetDelay	DelayFixation.OnsetTime	Distractors	Feedback.OffsetTime	Feedback.OnsetTime	Filename	GetReady.OffsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	Go.OffsetDelay	Go.OffsetTime	Go.OnsetTime	Novelty	Permutation	PostGoFixation.OffsetDelay	PostGoFixation.OffsetTime	PostGoFixation.OnsetTime	Procedure[Trial]	Relevance	Running[Trial]	Stim.ACC	Stim.CRESP	Stim.OffsetDelay	Stim.OffsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.RESP	Stim.RT	Stim.RTTime
TRSEscan	1101	1	60.002	1	-179409043	7/23/2010	13:52:20	1	BlockProc	SessionList	2	1	2	1	-999999	120844	16	111180	1	2	1		1	2	7006	Faces			NULL	NULL	NULL	NULL		NULL	NULL		137755	1	128864	0	138753	137763			0	140653	138763	InstrProc		BlockList	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
TRSEscan	1101	1	60.002	1	-179409043	7/23/2010	13:52:20	1	BlockProc	SessionList	2	1	2	2	NULL	NULL	NULL	NULL	2	2	2	Scenes	NULL	NULL	NULL	Faces	1	4390	0	145653	10	141363	0	NULL	NULL	scene/s_364.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	141253	10	140763	1	664	141427
TRSEscan	1101	1	60.002	1	-179409043	7/23/2010	13:52:20	1	BlockProc	SessionList	2	1	2	3	NULL	NULL	NULL	NULL	3	2	3	Faces	NULL	NULL	NULL	Faces	1	2390	0	148653	10	146363	1	NULL	NULL	face/m_120.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	146253	10	145763	1	768	146531
TRSEscan	1101	1	60.002	1	-179409043	7/23/2010	13:52:20	1	BlockProc	SessionList	2	1	2	4	NULL	NULL	NULL	NULL	4	2	4	Faces	NULL	NULL	NULL	Faces	1	2390	0	151652	10	149362	0	NULL	NULL	face/m_014.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	149252	9	148762	1	785	149547
TRSEscan	1101	1	60.002	1	-179409043	7/23/2010	13:52:20	1	BlockProc	SessionList	2	1	2	5	NULL	NULL	NULL	NULL	5	2	5	Scenes	NULL	NULL	NULL	Faces	1	4390	0	156652	10	152362	2	NULL	NULL	scene/s_200.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	152252	10	151762	1	609	152371
TRSEscan	1101	1	60.002	1	-179409043	7/23/2010	13:52:20	1	BlockProc	SessionList	2	1	2	6	NULL	NULL	NULL	NULL	6	2	6	Faces	NULL	NULL	NULL	Faces	2	6390	0	163652	10	157362	1	NULL	NULL	face/m_014.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	0	2	0	157252	10	156762	1	545	157307
TRSEscan	1101	1	60.002	1	-179409043	7/23/2010	13:52:20	1	BlockProc	SessionList	2	1	2	7	NULL	NULL	NULL	NULL	7	2	7	Scenes	NULL	NULL	NULL	Faces	1	6390	0	170652	10	164362	1	NULL	NULL	scene/s_200.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	164252	10	163762	1	633	164395
TRSEscan	1101	1	60.002	1	-179409043	7/23/2010	13:52:20	1	BlockProc	SessionList	2	1	2	8	NULL	NULL	NULL	NULL	8	2	8	Scenes	NULL	NULL	NULL	Faces	1	4390	0	175652	10	171362	0	NULL	NULL	scene/s_004.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	171252	10	170762	1	689	171451
TRSEscan	1101	1	60.002	1	-179409043	7/23/2010	13:52:20	1	BlockProc	SessionList	2	1	2	9	NULL	NULL	NULL	NULL	9	2	9	Scenes	NULL	NULL	NULL	Faces	1	2390	0	178652	10	176362	0	NULL	NULL	scene/s_004.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	176252	10	175762	1	584	176346
TRSEscan	1101	1	60.002	1	-179409043	7/23/2010	13:52:20	1	BlockProc	SessionList	2	1	2	10	NULL	NULL	NULL	NULL	10	2	10	Faces	NULL	NULL	NULL	Faces	1	4390	0	183652	10	179362	3	NULL	NULL	face/f_038.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	179252	10	178762	1	896	179658
