ExperimentName	Subject	Session	Display.RefreshRate	Group	RandomSeed	SessionDate	SessionTime	Block	Procedure[Block]	Running[Block]	SessionList	SessionList.Cycle	SessionList.Sample	Trial	BlockInstr.OffsetDelay	BlockInstr.OffsetTime	BlockInstr.OnsetDelay	BlockInstr.OnsetTime	BlockList	BlockList.Cycle	BlockList.Sample	Category	Challenge.ACC	Challenge.RESP	Challenge.RT	Condition	CorrResp	Delay	DelayFixation.OffsetDelay	DelayFixation.OffsetTime	DelayFixation.OnsetDelay	DelayFixation.OnsetTime	Distractors	Feedback.OffsetTime	Feedback.OnsetTime	Filename	GetReady.OffsetTime	GetReady.OnsetDelay	GetReady.OnsetTime	Go.OffsetDelay	Go.OffsetTime	Go.OnsetTime	Novelty	Permutation	PostGoFixation.OffsetDelay	PostGoFixation.OffsetTime	PostGoFixation.OnsetTime	Procedure[Trial]	Relevance	Running[Trial]	Stim.ACC	Stim.CRESP	Stim.OffsetDelay	Stim.OffsetTime	Stim.OnsetDelay	Stim.OnsetTime	Stim.RESP	Stim.RT	Stim.RTTime
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	1	-999999	81158	1	61783	1	2	1		1	2	2153	Faces			NULL	NULL	NULL	NULL		NULL	NULL		95070	1	84333	0	96072	95082			0	97972	96082	InstrProc		BlockList	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	2	NULL	NULL	NULL	NULL	2	2	2	Scenes	NULL	NULL	NULL	Faces	1	4390	0	102972	10	98682	0	NULL	NULL	scene/s_364.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	98572	10	98082	1	1203	99285
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	3	NULL	NULL	NULL	NULL	3	2	3	Faces	NULL	NULL	NULL	Faces	1	2390	0	105972	10	103682	1	NULL	NULL	face/m_120.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	103572	10	103082	1	747	103829
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	4	NULL	NULL	NULL	NULL	4	2	4	Faces	NULL	NULL	NULL	Faces	1	2390	0	108972	10	106682	0	NULL	NULL	face/m_014.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	106572	10	106082	1	867	106949
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	5	NULL	NULL	NULL	NULL	5	2	5	Scenes	NULL	NULL	NULL	Faces	1	4390	0	113971	10	109681	2	NULL	NULL	scene/s_200.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	109571	9	109081	1	804	109885
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	6	NULL	NULL	NULL	NULL	6	2	6	Faces	NULL	NULL	NULL	Faces	2	6390	0	120971	10	114681	1	NULL	NULL	face/m_014.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	2	0	114571	10	114081	2	1276	115357
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	7	NULL	NULL	NULL	NULL	7	2	7	Scenes	NULL	NULL	NULL	Faces	1	6390	0	127971	10	121681	1	NULL	NULL	scene/s_200.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	121571	10	121081	1	724	121805
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	8	NULL	NULL	NULL	NULL	8	2	8	Scenes	NULL	NULL	NULL	Faces	1	4390	0	132971	10	128681	0	NULL	NULL	scene/s_004.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	128571	10	128081	1	700	128781
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	9	NULL	NULL	NULL	NULL	9	2	9	Scenes	NULL	NULL	NULL	Faces	1	2390	0	135971	10	133681	0	NULL	NULL	scene/s_004.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	133571	10	133081	1	612	133693
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	10	NULL	NULL	NULL	NULL	10	2	10	Faces	NULL	NULL	NULL	Faces	1	4390	0	140971	10	136681	3	NULL	NULL	face/f_038.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Novel	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Relevant	BlockList	1	1	0	136571	10	136081	1	1028	137109
TRSEscan	1181	1	60.001	1	143361807	1/10/2011	17:54:05	1	BlockProc	SessionList	2	1	2	11	NULL	NULL	NULL	NULL	11	2	11	Scenes	NULL	NULL	NULL	Faces	1	6390	0	147971	10	141681	1	NULL	NULL	scene/s_004.bmp	NULL	NULL	NULL	NULL	NULL	NULL	Repeat	SFFSFSSSFSSFSSFFFSFF	NULL	NULL	NULL	TrialProc	Irrelevant	BlockList	1	1	0	141571	10	141081	1	804	141885
