ExperimentName	Subject	Block	Trial	Category	Condition	Delay	DelayFixation.OffsetTime	DelayFixation.OnsetTime	Distractors	Go.OffsetTime	Go.OnsetTime	Novelty	Relevance	Stim.ACC	Stim.OffsetTime	Stim.OnsetTime	Stim.RT
TRSEscan	116	1	1		Faces					57208	56218						
TRSEscan	116	1	2	Scenes	Faces	4390	64109	59819	0			Novel	Irrelevant	1	59706	59216	604
TRSEscan	116	1	3	Faces	Faces	2390	67101	64811	1			Novel	Relevant	1	64698	64208	788
TRSEscan	116	1	4	Faces	Faces	2390	70099	67809	0			Novel	Relevant	0	67696	67206	494
TRSEscan	116	1	5	Scenes	Faces	4390	75097	70807	2			Novel	Irrelevant	1	70694	70204	384
TRSEscan	116	1	6	Faces	Faces	6390	82089	75799	1			Repeat	Relevant	1	75686	75196	584
TRSEscan	116	1	7	Scenes	Faces	6390	89091	82801	1			Repeat	Irrelevant	1	82688	82198	454
TRSEscan	116	1	8	Scenes	Faces	4390	94093	89803	0			Novel	Irrelevant	1	89690	89200	483
TRSEscan	116	1	9	Scenes	Faces	2390	97084	94794	0			Repeat	Irrelevant	1	94682	94192	443
TRSEscan	116	1	10	Faces	Faces	4390	102083	97793	3			Novel	Relevant	1	97680	97190	629
TRSEscan	116	1	11	Scenes	Faces	6390	109075	102785	1			Repeat	Irrelevant	1	102672	102182	469
TRSEscan	116	1	12	Scenes	Faces	2390	112076	109786	0			Novel	Irrelevant	1	109673	109183	468
TRSEscan	116	1	13	Faces	Faces	4390	117075	112785	2			Repeat	Relevant	1	112672	112182	629
TRSEscan	116	1	14	Scenes	Faces	2390	120066	117776	1			Repeat	Irrelevant	1	117664	117174	533
TRSEscan	116	1	15	Scenes	Faces	6390	127065	120775	0			Novel	Irrelevant	1	120662	120172	503
TRSEscan	116	1	16	Faces	Faces	6390	134066	127776	2			Repeat	Relevant	1	127663	127173	670
TRSEscan	116	1	17	Faces	Faces	2390	137068	134778	0			Novel	Relevant	1	134665	134175	563
TRSEscan	116	1	18	Faces	Faces	4390	142067	137777	0			Repeat	Relevant	1	137664	137174	620
TRSEscan	116	1	19	Scenes	Faces	2390	145058	142768	3			Novel	Irrelevant	1	142656	142166	524
TRSEscan	116	1	20	Faces	Faces	6390	152057	145767	1			Novel	Relevant	1	145654	145164	718
TRSEscan	116	1	21	Faces	Faces	4390	157058	152768	0			Novel	Relevant	1	152655	152165	597
TRSEscan	116	2	1		Scenes					194932	193942						
TRSEscan	116	2	2	Scenes	Scenes	4390	201833	197543	0			Novel	Relevant	1	197430	196940	365
TRSEscan	116	2	3	Faces	Scenes	2390	204825	202535	1			Novel	Irrelevant	1	202422	201932	477
TRSEscan	116	2	4	Faces	Scenes	2390	207823	205533	0			Novel	Irrelevant	1	205420	204930	471
TRSEscan	116	2	5	Scenes	Scenes	4390	212821	208531	2			Novel	Relevant	1	208419	207929	456
TRSEscan	116	2	6	Faces	Scenes	6390	219813	213523	1			Repeat	Irrelevant	1	213410	212920	489
TRSEscan	116	2	7	Scenes	Scenes	6390	226815	220525	1			Repeat	Relevant	1	220412	219922	719
TRSEscan	116	2	8	Scenes	Scenes	4390	231817	227527	0			Novel	Relevant	1	227414	226924	668
TRSEscan	116	2	9	Scenes	Scenes	2390	234808	232518	0			Repeat	Relevant	1	232406	231916	604
TRSEscan	116	2	10	Faces	Scenes	4390	239807	235517	3			Novel	Irrelevant	1	235404	234914	526
TRSEscan	116	2	11	Scenes	Scenes	6390	246798	240508	1			Repeat	Relevant	1	240396	239906	830
TRSEscan	116	2	12	Scenes	Scenes	2390	249800	247510	0			Novel	Relevant	1	247397	246907	477
TRSEscan	116	2	13	Faces	Scenes	4390	254799	250509	2			Repeat	Irrelevant	1	250396	249906	534
TRSEscan	116	2	14	Scenes	Scenes	2390	257790	255500	1			Repeat	Relevant	1	255388	254898	558
TRSEscan	116	2	15	Scenes	Scenes	6390	264789	258499	0			Novel	Relevant	1	258386	257896	608
TRSEscan	116	2	16	Faces	Scenes	6390	271790	265500	2			Repeat	Irrelevant	1	265387	264897	470
TRSEscan	116	2	17	Faces	Scenes	2390	274792	272502	0			Novel	Irrelevant	1	272389	271899	556
TRSEscan	116	2	18	Faces	Scenes	4390	279791	275501	0			Repeat	Irrelevant	1	275388	274898	517
TRSEscan	116	2	19	Scenes	Scenes	2390	282782	280492	3			Novel	Relevant	1	280380	279890	629
TRSEscan	116	2	20	Faces	Scenes	6390	289781	283491	1			Novel	Irrelevant	1	283378	282888	479
TRSEscan	116	2	21	Faces	Scenes	4390	294782	290492	0			Novel	Irrelevant	1	290379	289889	526
TRSEscan	116	3	1		Categorize					325486	324496						
TRSEscan	116	3	2	Scenes	Categorize	4390	332388	328098	0			Novel	Irrelevant	1	327985	327495	871
TRSEscan	116	3	3	Faces	Categorize	2390	335379	333089	1			Novel	Irrelevant	1	332977	332487	535
TRSEscan	116	3	4	Faces	Categorize	2390	338378	336088	0			Novel	Irrelevant	1	335975	335485	401
TRSEscan	116	3	5	Scenes	Categorize	4390	343376	339086	2			Novel	Irrelevant	1	338973	338483	539
TRSEscan	116	3	6	Faces	Categorize	6390	350368	344078	1			Repeat	Irrelevant	1	343965	343475	539
TRSEscan	116	3	7	Scenes	Categorize	6390	357370	351080	1			Repeat	Irrelevant	0	350967	350477	601
TRSEscan	116	3	8	Scenes	Categorize	4390	362371	358081	0			Novel	Irrelevant	1	357968	357478	567
TRSEscan	116	3	9	Scenes	Categorize	2390	365363	363073	0			Repeat	Irrelevant	1	362960	362470	455
TRSEscan	116	3	10	Faces	Categorize	4390	370362	366072	3			Novel	Irrelevant	1	365958	365468	625
TRSEscan	116	3	11	Scenes	Categorize	6390	377353	371063	1			Repeat	Irrelevant	1	370951	370461	616
TRSEscan	116	3	12	Scenes	Categorize	2390	380355	378065	0			Novel	Irrelevant	1	377952	377462	535
TRSEscan	116	3	13	Faces	Categorize	4390	385353	381063	2			Repeat	Irrelevant	1	380950	380460	689
TRSEscan	116	3	14	Scenes	Categorize	2390	388345	386055	1			Repeat	Irrelevant	1	385942	385452	537
TRSEscan	116	3	15	Scenes	Categorize	6390	395343	389053	0			Novel	Irrelevant	1	388940	388450	539
TRSEscan	116	3	16	Faces	Categorize	6390	402345	396055	2			Repeat	Irrelevant	1	395942	395452	560
TRSEscan	116	3	17	Faces	Categorize	2390	405347	403057	0			Novel	Irrelevant	1	402944	402454	590
TRSEscan	116	3	18	Faces	Categorize	4390	410345	406055	0			Repeat	Irrelevant	1	405942	405452	608
TRSEscan	116	3	19	Scenes	Categorize	2390	413337	411047	3			Novel	Irrelevant	1	410934	410444	664
TRSEscan	116	3	20	Faces	Categorize	6390	420335	414045	1			Novel	Irrelevant	1	413932	413442	594
TRSEscan	116	3	21	Faces	Categorize	4390	425337	421047	0			Novel	Irrelevant	1	420934	420444	528
TRSEscan	116	4	1		Both					454885	453895						
TRSEscan	116	4	2	Scenes	Both	4390	461787	457497	0			Novel	Relevant	1	457384	456894	821
TRSEscan	116	4	3	Faces	Both	2390	464778	462488	1			Novel	Relevant	1	462376	461886	549
TRSEscan	116	4	4	Faces	Both	2390	467777	465487	0			Novel	Relevant	1	465374	464884	743
TRSEscan	116	4	5	Scenes	Both	4390	472775	468485	2			Novel	Relevant	0	468372	467882	625
TRSEscan	116	4	6	Faces	Both	6390	479767	473477	1			Repeat	Relevant	1	473364	472874	833
TRSEscan	116	4	7	Scenes	Both	6390	486769	480479	1			Repeat	Relevant	1	480366	479876	534
TRSEscan	116	4	8	Scenes	Both	4390	491770	487480	0			Novel	Relevant	1	487367	486877	661
TRSEscan	116	4	9	Scenes	Both	2390	494762	492472	0			Repeat	Relevant	1	492359	491869	629
TRSEscan	116	4	10	Faces	Both	4390	499760	495470	3			Novel	Relevant	1	495357	494867	615
TRSEscan	116	4	11	Scenes	Both	6390	506752	500462	1			Repeat	Relevant	0	500349	499859	2695
TRSEscan	116	4	12	Scenes	Both	2390	509754	507464	0			Novel	Relevant	1	507351	506861	788
TRSEscan	116	4	13	Faces	Both	4390	514752	510462	2			Repeat	Relevant	1	510349	509859	735
TRSEscan	116	4	14	Scenes	Both	2390	517744	515454	1			Repeat	Relevant	1	515341	514851	543
TRSEscan	116	4	15	Scenes	Both	6390	524742	518452	0			Novel	Relevant	1	518339	517849	713
TRSEscan	116	4	16	Faces	Both	6390	531744	525454	2			Repeat	Relevant	1	525341	524851	583
TRSEscan	116	4	17	Faces	Both	2390	534746	532456	0			Novel	Relevant	1	532343	531853	660
TRSEscan	116	4	18	Faces	Both	4390	539744	535454	0			Repeat	Relevant	1	535341	534851	670
TRSEscan	116	4	19	Scenes	Both	2390	542736	540446	3			Novel	Relevant	1	540333	539843	742
TRSEscan	116	4	20	Faces	Both	6390	549734	543444	1			Novel	Relevant	1	543331	542841	744
TRSEscan	116	4	21	Faces	Both	4390	554736	550446	0			Novel	Relevant	1	550333	549843	646
TRSEscan	116	5	1		Scenes					75639	74649						
TRSEscan	116	5	2	Faces	Scenes	2390	80540	78250	0			Novel	Irrelevant	1	78137	77647	902
TRSEscan	116	5	3	Faces	Scenes	4390	85538	81248	0			Novel	Irrelevant	1	81135	80645	432
TRSEscan	116	5	4	Scenes	Scenes	6390	92530	86240	2			Novel	Relevant	1	86127	85637	640
TRSEscan	116	5	5	Faces	Scenes	4390	97532	93242	1			Repeat	Irrelevant	1	93129	92639	437
TRSEscan	116	5	6	Faces	Scenes	2390	100524	98234	0			Repeat	Irrelevant	1	98121	97631	421
TRSEscan	116	5	7	Faces	Scenes	6390	107522	101232	0			Novel	Irrelevant	1	101119	100629	383
TRSEscan	116	5	8	Scenes	Scenes	2390	110524	108234	3			Novel	Relevant	1	108121	107631	797
TRSEscan	116	5	9	Scenes	Scenes	4390	115522	111232	0			Repeat	Relevant	1	111119	110629	583
TRSEscan	116	5	10	Faces	Scenes	2390	118514	116224	2			Repeat	Irrelevant	1	116111	115621	495
TRSEscan	116	5	11	Scenes	Scenes	4390	123512	119222	1			Repeat	Relevant	1	119109	118619	553
TRSEscan	116	5	12	Scenes	Scenes	6390	130504	124214	0			Novel	Relevant	1	124101	123611	737
TRSEscan	116	5	13	Faces	Scenes	4390	135506	131216	2			Novel	Irrelevant	1	131103	130613	471
TRSEscan	116	5	14	Scenes	Scenes	2390	138497	136207	1			Repeat	Relevant	1	136095	135605	638
TRSEscan	116	5	15	Scenes	Scenes	6390	145496	139206	0			Novel	Relevant	1	139093	138603	656
TRSEscan	116	5	16	Scenes	Scenes	4390	150497	146207	0			Novel	Relevant	1	146094	145604	703
TRSEscan	116	5	17	Faces	Scenes	6390	157489	151199	3			Novel	Irrelevant	1	151086	150596	575
TRSEscan	116	5	18	Scenes	Scenes	2390	160491	158201	1			Repeat	Relevant	1	158088	157598	685
TRSEscan	116	5	19	Faces	Scenes	2390	163489	161199	1			Repeat	Irrelevant	1	161086	160596	575
TRSEscan	116	5	20	Faces	Scenes	6390	170488	164198	0			Novel	Irrelevant	1	164085	163595	520
TRSEscan	116	5	21	Scenes	Scenes	4390	175489	171199	2			Novel	Relevant	1	171086	170596	871
TRSEscan	116	6	1		Categorize					206930	205940						
TRSEscan	116	6	2	Faces	Categorize	2390	211832	209542	0			Novel	Irrelevant	1	209429	208939	615
TRSEscan	116	6	3	Faces	Categorize	4390	216830	212540	0			Novel	Irrelevant	1	212427	211937	577
TRSEscan	116	6	4	Scenes	Categorize	6390	223822	217532	2			Novel	Irrelevant	1	217419	216929	577
TRSEscan	116	6	5	Faces	Categorize	4390	228824	224534	1			Repeat	Irrelevant	1	224421	223931	582
TRSEscan	116	6	6	Faces	Categorize	2390	231815	229525	0			Repeat	Irrelevant	1	229413	228923	470
TRSEscan	116	6	7	Faces	Categorize	6390	238814	232524	0			Novel	Irrelevant	1	232411	231921	432
TRSEscan	116	6	8	Scenes	Categorize	2390	241815	239525	3			Novel	Irrelevant	0	239412	238922	559
TRSEscan	116	6	9	Scenes	Categorize	4390	246814	242524	0			Repeat	Irrelevant	1	242411	241921	520
TRSEscan	116	6	10	Faces	Categorize	2390	249806	247516	2			Repeat	Irrelevant	1	247403	246913	584
TRSEscan	116	6	11	Scenes	Categorize	4390	254804	250514	1			Repeat	Irrelevant	1	250401	249911	482
TRSEscan	116	6	12	Scenes	Categorize	6390	261796	255506	0			Novel	Irrelevant	1	255393	254903	530
TRSEscan	116	6	13	Faces	Categorize	4390	266797	262507	2			Novel	Irrelevant	1	262394	261904	545
TRSEscan	116	6	14	Scenes	Categorize	2390	269789	267499	1			Repeat	Irrelevant	1	267386	266896	545
TRSEscan	116	6	15	Scenes	Categorize	6390	276787	270497	0			Novel	Irrelevant	1	270384	269894	538
TRSEscan	116	6	16	Scenes	Categorize	4390	281789	277499	0			Novel	Irrelevant	1	277386	276896	560
TRSEscan	116	6	17	Faces	Categorize	6390	288781	282491	3			Novel	Irrelevant	1	282378	281888	664
TRSEscan	116	6	18	Scenes	Categorize	2390	291783	289493	1			Repeat	Irrelevant	1	289380	288890	886
TRSEscan	116	6	19	Faces	Categorize	2390	294781	292491	1			Repeat	Irrelevant	1	292378	291888	536
TRSEscan	116	6	20	Faces	Categorize	6390	301779	295489	0			Novel	Irrelevant	1	295376	294886	521
TRSEscan	116	6	21	Scenes	Categorize	4390	306781	302491	2			Novel	Irrelevant	1	302378	301888	648
TRSEscan	116	7	1		Both					336899	335909						
TRSEscan	116	7	2	Faces	Both	2390	341800	339510	0			Novel	Relevant	1	339397	338907	596
TRSEscan	116	7	3	Faces	Both	4390	346799	342509	0			Novel	Relevant	1	342396	341906	661
TRSEscan	116	7	4	Scenes	Both	6390	353790	347500	2			Novel	Relevant	1	347388	346898	757
TRSEscan	116	7	5	Faces	Both	4390	358792	354502	1			Repeat	Relevant	0	354389	353899	628
TRSEscan	116	7	6	Faces	Both	2390	361784	359494	0			Repeat	Relevant	1	359381	358891	515
TRSEscan	116	7	7	Faces	Both	6390	368782	362492	0			Novel	Relevant	1	362379	361889	637
TRSEscan	116	7	8	Scenes	Both	2390	371784	369494	3			Novel	Relevant	1	369381	368891	667
TRSEscan	116	7	9	Scenes	Both	4390	376782	372492	0			Repeat	Relevant	1	372379	371889	693
TRSEscan	116	7	10	Faces	Both	2390	379774	377484	2			Repeat	Relevant	1	377371	376881	805
TRSEscan	116	7	11	Scenes	Both	4390	384772	380482	1			Repeat	Relevant	1	380369	379879	599
TRSEscan	116	7	12	Scenes	Both	6390	391764	385474	0			Novel	Relevant	1	385361	384871	599
TRSEscan	116	7	13	Faces	Both	4390	396766	392476	2			Novel	Relevant	1	392363	391873	797
TRSEscan	116	7	14	Scenes	Both	2390	399758	397468	1			Repeat	Relevant	1	397355	396865	757
TRSEscan	116	7	15	Scenes	Both	6390	406756	400466	0			Novel	Relevant	1	400353	399863	766
TRSEscan	116	7	16	Scenes	Both	4390	411758	407468	0			Novel	Relevant	0	407355	406865	780
TRSEscan	116	7	17	Faces	Both	6390	418749	412459	3			Novel	Relevant	1	412347	411857	876
TRSEscan	116	7	18	Scenes	Both	2390	421751	419461	1			Repeat	Relevant	1	419348	418858	723
TRSEscan	116	7	19	Faces	Both	2390	424750	422460	1			Repeat	Relevant	0	422346	421856	629
TRSEscan	116	7	20	Faces	Both	6390	431748	425458	0			Novel	Relevant	1	425345	424855	742
TRSEscan	116	7	21	Scenes	Both	4390	436750	432460	2			Novel	Relevant	1	432347	431857	756
TRSEscan	116	8	1		Faces					466817	465827						
TRSEscan	116	8	2	Faces	Faces	2390	471718	469428	0			Novel	Relevant	1	469315	468825	723
TRSEscan	116	8	3	Faces	Faces	4390	476717	472427	0			Novel	Relevant	1	472314	471824	580
TRSEscan	116	8	4	Scenes	Faces	6390	483708	477418	2			Novel	Irrelevant	0	477306	476816	708
TRSEscan	116	8	5	Faces	Faces	4390	488710	484420	1			Repeat	Relevant	1	484307	483817	787
TRSEscan	116	8	6	Faces	Faces	2390	491702	489412	0			Repeat	Relevant	1	489299	488809	514
TRSEscan	116	8	7	Faces	Faces	6390	498700	492410	0			Novel	Relevant	1	492297	491807	589
TRSEscan	116	8	8	Scenes	Faces	2390	501702	499412	3			Novel	Irrelevant	1	499299	498809	506
TRSEscan	116	8	9	Scenes	Faces	4390	506700	502410	0			Repeat	Irrelevant	1	502297	501807	564
TRSEscan	116	8	10	Faces	Faces	2390	509692	507402	2			Repeat	Relevant	1	507289	506799	756
TRSEscan	116	8	11	Scenes	Faces	4390	514691	510401	1			Repeat	Irrelevant	1	510288	509798	557
TRSEscan	116	8	12	Scenes	Faces	6390	521682	515392	0			Novel	Irrelevant	1	515280	514790	541
TRSEscan	116	8	13	Faces	Faces	4390	526684	522394	2			Novel	Relevant	1	522281	521791	676
TRSEscan	116	8	14	Scenes	Faces	2390	529676	527386	1			Repeat	Irrelevant	1	527273	526783	524
TRSEscan	116	8	15	Scenes	Faces	6390	536674	530384	0			Novel	Irrelevant	1	530271	529781	510
TRSEscan	116	8	16	Scenes	Faces	4390	541676	537386	0			Novel	Irrelevant	1	537273	536783	467
TRSEscan	116	8	17	Faces	Faces	6390	548668	542378	3			Novel	Relevant	1	542265	541775	547
TRSEscan	116	8	18	Scenes	Faces	2390	551669	549379	1			Repeat	Irrelevant	1	549266	548776	482
TRSEscan	116	8	19	Faces	Faces	2390	554668	552378	1			Repeat	Relevant	1	552265	551775	651
TRSEscan	116	8	20	Faces	Faces	6390	561666	555376	0			Novel	Relevant	1	555263	554773	533
TRSEscan	116	8	21	Scenes	Faces	4390	566668	562378	2			Novel	Irrelevant	1	562265	561775	539
TRSEscan	116	9	1		Categorize					26787	25797						
TRSEscan	116	9	2	Faces	Categorize	4390	33688	29398	0			Novel	Irrelevant	1	29285	28795	612
TRSEscan	116	9	3	Faces	Categorize	2390	36680	34390	0			Novel	Irrelevant	1	34277	33787	596
TRSEscan	116	9	4	Scenes	Categorize	2390	39678	37388	2			Novel	Irrelevant	1	37275	36785	550
TRSEscan	116	9	5	Faces	Categorize	6390	46677	40387	1			Novel	Irrelevant	1	40274	39784	455
TRSEscan	116	9	6	Faces	Categorize	4390	51679	47389	0			Repeat	Irrelevant	1	47276	46786	476
TRSEscan	116	9	7	Faces	Categorize	6390	58670	52380	0			Novel	Irrelevant	1	52268	51778	460
TRSEscan	116	9	8	Scenes	Categorize	2390	61672	59382	3			Novel	Irrelevant	1	59269	58779	619
TRSEscan	116	9	9	Faces	Categorize	4390	66670	62380	1			Novel	Irrelevant	0	62267	61777	453
TRSEscan	116	9	10	Faces	Categorize	6390	73662	67372	0			Repeat	Irrelevant	1	67259	66769	461
TRSEscan	116	9	11	Scenes	Categorize	4390	78664	74374	2			Novel	Irrelevant	1	74261	73771	547
TRSEscan	116	9	12	Scenes	Categorize	2390	81656	79366	0			Repeat	Irrelevant	1	79253	78763	467
TRSEscan	116	9	13	Faces	Categorize	4390	86654	82364	2			Repeat	Irrelevant	1	82251	81761	469
TRSEscan	116	9	14	Scenes	Categorize	2390	89646	87356	1			Novel	Irrelevant	1	87243	86753	388
TRSEscan	116	9	15	Faces	Categorize	6390	96644	90354	1			Novel	Irrelevant	1	90241	89751	439
TRSEscan	116	9	16	Scenes	Categorize	4390	101646	97356	1			Novel	Irrelevant	1	97243	96753	508
TRSEscan	116	9	17	Scenes	Categorize	6390	108638	102348	0			Repeat	Irrelevant	1	102235	101745	500
TRSEscan	116	9	18	Scenes	Categorize	2390	111639	109349	0			Repeat	Irrelevant	1	109236	108746	483
TRSEscan	116	9	19	Faces	Categorize	2390	114638	112348	3			Repeat	Irrelevant	1	112235	111745	572
TRSEscan	116	9	20	Scenes	Categorize	4390	119636	115346	1			Novel	Irrelevant	1	115233	114743	622
TRSEscan	116	9	21	Scenes	Categorize	6390	126628	120338	0			Repeat	Irrelevant	1	120225	119735	494
TRSEscan	116	10	1		Both					158464	157474						
TRSEscan	116	10	2	Faces	Both	4390	165365	161075	0			Novel	Relevant	1	160962	160472	580
TRSEscan	116	10	3	Faces	Both	2390	168357	166067	0			Novel	Relevant	1	165954	165464	540
TRSEscan	116	10	4	Scenes	Both	2390	171355	169065	2			Novel	Relevant	1	168952	168462	494
TRSEscan	116	10	5	Faces	Both	6390	178354	172064	1			Novel	Relevant	1	171951	171461	671
